,timestamp,latitude,longitude,weekday,time_of_day
236,1539435494.0,52.198749,21.0043283,5,778
237,1539435333.0,52.1987469,21.0044851,5,775
238,1539435187.0,52.1987469,21.0044851,5,773
239,1539435032.0,52.1987599,21.0042924,5,770
240,1539434913.0,52.1987599,21.0042924,5,768
241,1539434731.0,52.1987559,21.0043126,5,765
242,1539434622.0,52.1987559,21.0043126,5,763
243,1539434430.0,52.1987559,21.0043126,5,760
244,1539434385.0,52.1987565,21.0043044,5,759
245,1539434271.0,52.1987565,21.0043044,5,757
246,1539434194.0,52.1987565,21.0043044,5,756
247,1539434129.0,52.1987494,21.0043345,5,755
248,1539434041.0,52.1987494,21.0043345,5,754
249,1539433828.0,52.1987475,21.004303,5,750
250,1539433726.0,52.1987475,21.004303,5,748
251,1539433584.0,52.1987475,21.004303,5,746
252,1539433493.0,52.1987475,21.004303,5,744
253,1539433460.0,52.1987521,21.0043555,5,744
254,1539433386.0,52.1987521,21.0043555,5,743
255,1539433263.0,52.1987521,21.0043555,5,741
256,1539433193.0,52.1987521,21.0043555,5,739
257,1539433169.0,52.1987564,21.0042951,5,739
258,1539433104.0,52.1987564,21.0042951,5,738
259,1539433103.0,52.1987564,21.0042951,5,738
260,1539432879.0,52.1987549,21.004286,5,734
261,1539432804.0,52.1987549,21.004286,5,733
262,1539432679.0,52.1986922,21.0045554,5,731
263,1539432619.0,52.1987622,21.0045059,5,730
264,1539432516.0,52.1986922,21.0045554,5,728
265,1539432455.0,52.1987585,21.0043167,5,727
266,1539432394.0,52.1987331,21.0044475,5,726
267,1539432332.0,52.1987651,21.0044885,5,725
268,1539432270.0,52.1986922,21.0045554,5,724
269,1539432208.0,52.1986922,21.0045554,5,723
270,1539432146.0,52.1986922,21.0045554,5,722
271,1539432081.0,52.1986922,21.0045554,5,721
272,1539432031.0,52.1987488,21.0043394,5,720
273,1539432007.0,52.19877,21.004483,5,720
274,1539431925.0,52.198753,21.0042518,5,718
275,1539431846.0,52.198753,21.0042518,5,717
276,1539431784.0,52.1988519,21.0048431,5,716
277,1539431717.0,52.1991172,21.0035532,5,715
278,1539431655.0,52.1991172,21.0035532,5,714
279,1539431594.0,52.1991172,21.0035532,5,713
280,1539431534.0,52.1993454,21.0045031,5,712
281,1539431474.0,52.1991365,21.0021862,5,711
282,1539431473.0,52.1991362,21.0021899,5,711
283,1539431467.0,52.1991416,21.0019986,5,711
284,1539431406.0,52.1997177,21.0014065,5,710
285,1539431346.0,52.2015347,21.0003606,5,709
286,1539431284.0,52.228092,21.0015549,5,708
287,1539431223.0,52.228092,21.0015549,5,707
288,1539431162.0,52.228092,21.0015549,5,706
289,1539431102.0,52.228092,21.0015549,5,705
290,1539431040.0,52.228092,21.0015549,5,704
291,1539430979.0,52.2176124,21.0050105,5,702
292,1539430920.0,52.2176124,21.0050105,5,702
293,1539430828.0,52.2291065,20.9998306,5,700
294,1539430733.0,52.2291065,20.9998306,5,698
295,1539430661.0,52.2291065,20.9998306,5,697
296,1539430555.0,52.2274788,21.0025449,5,695
297,1539430473.0,52.2274788,21.0025449,5,694
298,1539430412.0,52.2291891,21.0025178,5,693
299,1539430348.0,52.2291891,21.0025178,5,692
300,1539430227.0,52.2289568,21.0010151,5,690
301,1539430166.0,52.2292186,21.0025121,5,689
302,1539430104.0,52.2292708,21.0026447,5,688
303,1539430036.0,52.22927,21.0027367,5,687
304,1539429961.0,52.2292847,21.002846,5,686
305,1539429864.0,52.2296581,21.0025968,5,684
306,1539429785.0,52.2296581,21.0025968,5,683
307,1539429725.0,52.2296538,21.0026124,5,682
308,1539429628.0,52.22963,21.002583,5,680
309,1539429541.0,52.22963,21.002583,5,679
310,1539429504.0,52.2297335,21.0025558,5,678
311,1539429392.0,52.2300977,21.0026023,5,676
312,1539429276.0,52.2300977,21.0026023,5,674
313,1539429214.0,52.2300862,21.0026131,5,673
314,1539429151.0,52.2300986,21.0026029,5,672
315,1539429089.0,52.2300971,21.0026029,5,671
316,1539429028.0,52.2300987,21.0026039,5,670
317,1539428967.0,52.2300639,21.002623,5,669
318,1539428904.0,52.230085,21.0026152,5,668
319,1539428841.0,52.2300884,21.0026146,5,667
320,1539428660.0,52.2300955,21.0026055,5,664
321,1539428610.0,52.2300865,21.0026136,5,663
322,1539428550.0,52.2301016,21.0026494,5,662
323,1539428490.0,52.2301299,21.0026572,5,661
324,1539428430.0,52.2297607,21.0025926,5,660
325,1539428365.0,52.2292023,21.0024924,5,659
